Group,Family,Comparison,Metric,block,p_value
6assets,external,SBCA vs Buy & Hold,Sortino,20,0.0355
6assets,external,SBCA vs Buy & Hold,MDD,20,0.0117
6assets,external,SBCA vs Buy & Hold,AR,40,0.0872
6assets,external,SBCA vs Buy & Hold,SR,40,0.0365
6assets,external,SBCA vs Buy & Hold,Sortino,40,0.0225
6assets,external,SBCA vs Buy & Hold,MDD,40,0.014
6assets,external,SBCA vs Buy & Hold,AR,60,0.0498
6assets,external,SBCA vs Buy & Hold,SR,60,0.0127
6assets,external,SBCA vs Buy & Hold,Sortino,60,0.0067
6assets,external,SBCA vs Buy & Hold,MDD,60,0.0121
6assets,external,SBCA vs Buy & Hold,AR,120,0.0425
6assets,external,SBCA vs Buy & Hold,SR,120,0.0126
6assets,external,SBCA vs Buy & Hold,Sortino,120,0.0023
6assets,external,SBCA vs Buy & Hold,MDD,120,0.0168
6assets,external,SBCA vs Equal Weight,AR,20,0.7879
6assets,external,SBCA vs Equal Weight,SR,20,0.7924
6assets,external,SBCA vs Equal Weight,Sortino,20,0.7909
6assets,external,SBCA vs Equal Weight,MDD,20,0.6748
6assets,external,SBCA vs Equal Weight,AR,40,0.7822
6assets,external,SBCA vs Equal Weight,SR,40,0.7876
6assets,external,SBCA vs Equal Weight,Sortino,40,0.7855
6assets,external,SBCA vs Equal Weight,MDD,40,0.678
6assets,external,SBCA vs Equal Weight,AR,60,0.7805
6assets,external,SBCA vs Equal Weight,SR,60,0.794
6assets,external,SBCA vs Equal Weight,Sortino,60,0.7886
6assets,external,SBCA vs Equal Weight,MDD,60,0.6929
6assets,external,SBCA vs Equal Weight,AR,120,0.7677
6assets,external,SBCA vs Equal Weight,SR,120,0.8058
6assets,external,SBCA vs Equal Weight,Sortino,120,0.7826
6assets,external,SBCA vs Equal Weight,MDD,120,0.7557
6assets,external,SBCA vs Dow Jones,AR,20,0.1597
6assets,external,SBCA vs Dow Jones,SR,20,0.0648
6assets,external,SBCA vs Dow Jones,Sortino,20,0.0716
6assets,external,SBCA vs Dow Jones,MDD,20,0.0103
6assets,external,SBCA vs Dow Jones,AR,40,0.1521
6assets,external,SBCA vs Dow Jones,SR,40,0.0586
6assets,external,SBCA vs Dow Jones,Sortino,40,0.0676
6assets,external,SBCA vs Dow Jones,MDD,40,0.0123
