Group,Family,Comparison,Metric,block,p_value
4assets,external,SBCA vs MVO,SR,40,0.0565
4assets,external,SBCA vs MVO,Sortino,40,0.0685
4assets,external,SBCA vs MVO,MDD,40,0.0238
4assets,external,SBCA vs MVO,AR,60,0.2073
4assets,external,SBCA vs MVO,SR,60,0.0436
4assets,external,SBCA vs MVO,Sortino,60,0.0505
4assets,external,SBCA vs MVO,MDD,60,0.0266
4assets,external,SBCA vs MVO,AR,120,0.169
4assets,external,SBCA vs MVO,SR,120,0.0234
4assets,external,SBCA vs MVO,Sortino,120,0.0273
4assets,external,SBCA vs MVO,MDD,120,0.017
6assets,internal,SBCA vs SB,AR,20,0.5437
6assets,internal,SBCA vs SB,SR,20,0.0847
6assets,internal,SBCA vs SB,Sortino,20,0.4491
6assets,internal,SBCA vs SB,MDD,20,0.0392
6assets,internal,SBCA vs SB,AR,40,0.5355
6assets,internal,SBCA vs SB,SR,40,0.0882
6assets,internal,SBCA vs SB,Sortino,40,0.447
6assets,internal,SBCA vs SB,MDD,40,0.0336
6assets,internal,SBCA vs SB,AR,60,0.5212
6assets,internal,SBCA vs SB,SR,60,0.0816
6assets,internal,SBCA vs SB,Sortino,60,0.4462
6assets,internal,SBCA vs SB,MDD,60,0.0295
6assets,internal,SBCA vs SB,AR,120,0.4934
6assets,internal,SBCA vs SB,SR,120,0.0652
6assets,internal,SBCA vs SB,Sortino,120,0.4316
6assets,internal,SBCA vs SB,MDD,120,0.019
6assets,internal,SBCA vs SBA,AR,20,0.6179
6assets,internal,SBCA vs SBA,SR,20,0.4527
6assets,internal,SBCA vs SBA,Sortino,20,0.3976
6assets,internal,SBCA vs SBA,MDD,20,0.0931
6assets,internal,SBCA vs SBA,AR,40,0.6144
6assets,internal,SBCA vs SBA,SR,40,0.4584
6assets,internal,SBCA vs SBA,Sortino,40,0.4
6assets,internal,SBCA vs SBA,MDD,40,0.0718
6assets,internal,SBCA vs SBA,AR,60,0.61
6assets,internal,SBCA vs SBA,SR,60,0.4605
6assets,internal,SBCA vs SBA,Sortino,60,0.3956
6assets,internal,SBCA vs SBA,MDD,60,0.0713
6assets,internal,SBCA vs SBA,AR,120,0.6317
6assets,internal,SBCA vs SBA,SR,120,0.4672
6assets,internal,SBCA vs SBA,Sortino,120,0.41
6assets,internal,SBCA vs SBA,MDD,120,0.0635
6assets,internal,SBCA vs SBC,AR,20,0.2081
6assets,internal,SBCA vs SBC,SR,20,0.4625
6assets,internal,SBCA vs SBC,Sortino,20,0.3596
6assets,internal,SBCA vs SBC,MDD,20,0.8555
6assets,internal,SBCA vs SBC,AR,40,0.2051
6assets,internal,SBCA vs SBC,SR,40,0.4748
6assets,internal,SBCA vs SBC,Sortino,40,0.3592
6assets,internal,SBCA vs SBC,MDD,40,0.8732
6assets,internal,SBCA vs SBC,AR,60,0.1968
6assets,internal,SBCA vs SBC,SR,60,0.4732
6assets,internal,SBCA vs SBC,Sortino,60,0.3447
6assets,internal,SBCA vs SBC,MDD,60,0.8957
6assets,internal,SBCA vs SBC,AR,120,0.206
6assets,internal,SBCA vs SBC,SR,120,0.4678
6assets,internal,SBCA vs SBC,Sortino,120,0.3122
6assets,internal,SBCA vs SBC,MDD,120,0.8922
6assets,external,SBCA vs Buy & Hold,AR,20,0.0961
6assets,external,SBCA vs Buy & Hold,SR,20,0.0422
6assets,external,SBCA vs Buy & Hold,Sortino,20,0.0354
6assets,external,SBCA vs Buy & Hold,MDD,20,0.0117
6assets,external,SBCA vs Buy & Hold,AR,40,0.0873
6assets,external,SBCA vs Buy & Hold,SR,40,0.0365
6assets,external,SBCA vs Buy & Hold,Sortino,40,0.0225
6assets,external,SBCA vs Buy & Hold,MDD,40,0.014
6assets,external,SBCA vs Buy & Hold,AR,60,0.0499
6assets,external,SBCA vs Buy & Hold,SR,60,0.0126
6assets,external,SBCA vs Buy & Hold,Sortino,60,0.0067
6assets,external,SBCA vs Buy & Hold,MDD,60,0.0121
6assets,external,SBCA vs Buy & Hold,AR,120,0.0426
6assets,external,SBCA vs Buy & Hold,SR,120,0.0126
6assets,external,SBCA vs Buy & Hold,Sortino,120,0.0023
6assets,external,SBCA vs Buy & Hold,MDD,120,0.0168
6assets,external,SBCA vs Equal Weight,AR,20,0.7878
6assets,external,SBCA vs Equal Weight,SR,20,0.7923
6assets,external,SBCA vs Equal Weight,Sortino,20,0.7909
6assets,external,SBCA vs Equal Weight,MDD,20,0.6734
6assets,external,SBCA vs Equal Weight,AR,40,0.7823
